小双祝新年快乐,#genre#
宁阳2,http://182.46.8.252:8888/udp/239.21.1.144:5002
农林卫视,http://182.46.8.252:8888/udp/239.21.1.235:5002
平度新闻,http://182.46.8.252:8888/udp/239.21.1.228:5002
平阴综合,http://182.46.8.252:8888/udp/239.21.1.221:5002
平原新闻,http://182.46.8.252:8888/udp/239.21.1.243:5002
栖霞综合,http://182.46.8.252:8888/udp/239.21.1.229:5002
齐河新闻,http://182.46.8.252:8888/udp/239.21.1.230:5002
青岛1,http://182.46.8.252:8888/udp/239.21.1.69:5002
青岛,http://182.46.8.252:8888/udp/239.21.1.70:5002
青岛3,http://182.46.8.252:8888/udp/239.21.1.71:5002
青岛4,http://182.46.8.252:8888/udp/239.21.1.72:5002
青岛5,http://182.46.8.252:8888/udp/239.21.1.73:5002
青岛6,http://182.46.8.252:8888/udp/239.21.1.74:5002
青海卫视,http://182.46.8.252:8888/udp/239.21.1.43:5002
青州文化旅,http://182.46.8.252:8888/udp/239.21.1.231:5002
青州综合,http://182.46.8.252:8888/udp/239.21.1.232:5002
曲阜新闻,http://182.46.8.252:8888/udp/239.21.1.225:5002
日照莒县TV-1,http://182.46.8.252:8888/udp/239.21.1.236:5002
日照科教,http://182.46.8.252:8888/udp/239.21.1.80:5002
日照岚山,http://182.46.8.252:8888/udp/239.21.1.209:5002
日照新闻,http://182.46.8.252:8888/udp/239.21.1.79:5002
荣成综合,http://182.46.8.252:8888/udp/239.21.1.227:5002
乳山,http://182.46.8.252:8888/udp/239.21.1.220:5002
三沙卫,http://182.46.8.252:8888/udp/239.21.2.9:5002
厦门卫视,http://182.46.8.252:8888/udp/239.21.2.6:5002
山东国,http://182.46.8.252:8888/udp/239.21.1.61:5002
山东教育,http://182.46.8.252:8888/udp/239.21.1.101:5002
山东教,http://182.46.8.252:8888/udp/239.21.1.169:5002
山东居家购,http://182.46.8.252:8888/udp/239.21.1.112:5002
山东农科,http://182.46.8.252:8888/udp/239.21.1.59:5002
山东农科,http://182.46.8.252:8888/udp/239.21.1.183:5002
山东齐鲁,http://182.46.8.252:8888/udp/239.21.1.53:5002
山东齐鲁,http://182.46.8.252:8888/udp/239.21.1.134:5002
山东少儿,http://182.46.8.252:8888/udp/239.21.1.60:5002
山东少儿,http://182.46.8.252:8888/udp/239.21.1.208:5002
山东生活,http://182.46.8.252:8888/udp/239.21.1.56:5002
山东生活,http://182.46.8.252:8888/udp/239.21.1.175:5002
山西卫视,http://182.46.8.252:8888/udp/239.21.1.33:5002
陕西卫视,http://182.46.8.252:8888/udp/239.21.1.30:5002
上海纪实,http://182.46.8.252:8888/udp/239.21.1.171:5002
莘县,http://182.46.8.252:8888/udp/239.21.1.211:5002
深圳卫视,http://182.46.8.252:8888/udp/239.21.1.25:5002
深圳卫视,http://182.46.8.252:8888/udp/239.21.1.93:5002
寿光蔬菜,http://182.46.8.252:8888/udp/239.21.1.218:5002
四川卫视,http://182.46.8.252:8888/udp/239.21.1.34:5002
四川卫视,http://182.46.8.252:8888/udp/239.21.2.15:5002
滕州综合,http://182.46.8.252:8888/udp/239.21.1.178:5002
天津卫视,http://182.46.8.252:8888/udp/239.21.1.22:5002
天津卫视,http://182.46.8.252:8888/udp/239.21.1.165:5002
潍坊1,http://182.46.8.252:8888/udp/239.21.1.77:5002
潍坊2,http://182.46.8.252:8888/udp/239.21.1.78:5002
潍坊寿光新闻,http://182.46.8.252:8888/udp/239.21.1.180:5002
文登,http://182.46.8.252:8888/udp/239.21.1.174:5002
无棣综合,http://182.46.8.252:8888/udp/239.21.1.214:5002
五莲新闻,http://182.46.8.252:8888/udp/239.21.1.249:5002
武城新闻,http://182.46.8.252:8888/udp/239.21.1.239:5002
武城影视,http://182.46.8.252:8888/udp/239.21.1.240:5002
西藏卫视,http://182.46.8.252:8888/udp/239.21.1.46:5002
喜剧影院,http://182.46.8.252:8888/udp/239.21.1.122:5002
夏津公共,http://182.46.8.252:8888/udp/239.21.1.102:5002
夏津综合,http://182.46.8.252:8888/udp/239.21.1.106:5002
新疆卫视,http://182.46.8.252:8888/udp/239.21.1.45:5002
新泰乡村,http://182.46.8.252:8888/udp/239.21.1.248:5002
新泰新闻,http://182.46.8.252:8888/udp/239.21.1.210:5002
新闻综合,http://182.46.8.252:8888/udp/239.21.1.193:5002
烟台公共,http://182.46.8.252:8888/udp/239.21.1.117:5002
烟台经济,http://182.46.8.252:8888/udp/239.21.1.205:5002
烟台新闻,http://182.46.8.252:8888/udp/239.21.1.116:5002
烟台影视,http://182.46.8.252:8888/udp/239.21.1.204:5002
兖州新闻,http://182.46.8.252:8888/udp/239.21.1.224:5002
阳信新闻,http://182.46.8.252:8888/udp/239.21.1.252:5002
优漫卡通,http://182.46.8.252:8888/udp/239.21.1.50:5002
禹城综合,http://182.46.8.252:8888/udp/239.21.1.241:5002
禹城综艺,http://182.46.8.252:8888/udp/239.21.1.242:5002
云南卫视,http://182.46.8.252:8888/udp/239.21.1.40:5002
郓城新闻,http://182.46.8.252:8888/udp/239.21.1.251:5002
沾化综合,http://182.46.8.252:8888/udp/239.21.1.226:5002
长清新闻,http://182.46.8.252:8888/udp/239.21.1.107:5002
浙江卫视,http://182.46.8.252:8888/udp/239.21.1.17:5002
浙江卫视,http://182.46.8.252:8888/udp/239.21.1.90:5002
中国交通,http://182.46.8.252:8888/udp/239.21.1.115:5002
重庆卫视,http://182.46.8.252:8888/udp/239.21.1.24:5002
重庆卫视,http://182.46.8.252:8888/udp/239.21.1.233:5002
诸城新闻,http://182.46.8.252:8888/udp/239.21.1.217:5002
淄博都市,http://182.46.8.252:8888/udp/239.21.1.83:5002
淄博公共,http://182.46.8.252:8888/udp/239.21.1.182:5002
淄博生活,http://182.46.8.252:8888/udp/239.21.1.109:5002
淄博新,http://182.46.8.252:8888/udp/239.21.1.84:5002
淄博沂源新闻,http://182.46.8.252:8888/udp/239.21.1.114:5002
综合测试,http://182.46.8.252:8888/udp/239.21.1.203:5002
邹城新闻,http://182.46.8.252:8888/udp/239.21.1.185:5002
足球,http://182.46.8.252:8888/udp/239.21.1.162:5002

华数1,http://n1.dddmmh.space:8088/udp/225.0.4.50:7980
华数2,http://n1.dddmmh.space:8088/udp/225.0.4.54:7980

河南武术世界7M1080,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000657/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225764/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225767/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV16,http://39.134.144.6:8089/PLTV/88888888/224/3221226475/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225764/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225767/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CGTN,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8

IHOT爱院线,#genre#
精彩影视,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000063
爱电竞,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000054
爱谍战,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000038
爱动漫,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000059
爱经典,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000037
爱科幻,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000033
爱科学,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000047
爱浪漫,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000035
爱历史,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000046
爱旅行,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000056
爱奇谈,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000058
爱青春,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000041
爱赛车,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000055
爱体育,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000060
爱玩具,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000053
爱喜剧,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000032
爱悬疑,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000036
爱幼教,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000049
爱院线,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000034
爱怀旧,http://118.114.168.57:8888/udp/239.93.42.21:5140$成都电信组播
爱记录,http://118.114.168.57:8888/udp/239.93.42.13:5140$成都电信组播
爱美食,http://118.114.168.57:8888/udp/239.93.42.16:5140$成都电信组播
爱喜剧,http://118.114.168.57:8888/udp/239.93.42.9:5140$成都电信组播
爱奇谈,http://118.114.168.57:8888/udp/239.93.42.22:5140$成都电信组播
爱悬疑,http://118.114.168.57:8888/udp/239.93.42.12:5140$成都电信组播
爱谍战,http://118.114.168.57:8888/udp/239.93.42.14:5140$成都电信组播
爱院线,http://118.114.168.57:8888/udp/239.93.42.11:5140$成都电信组播
都市剧场,http://118.114.168.57:8888/udp/239.93.42.14:5140$成都电信组播
爱怀旧,http://118.122.103.228:4022/udp/239.93.42.21:5140$四川成都电信
爱记录,http://118.122.103.228:4022/udp/239.93.42.13:5140$四川成都电信
爱美食,http://118.122.103.228:4022/udp/239.93.42.16:5140$四川成都电信
爱喜剧,http://118.122.103.228:4022/udp/239.93.42.9:5140$四川成都电信
爱奇谈,http://118.122.103.228:4022/udp/239.93.42.22:5140$四川成都电信
爱悬疑,http://118.122.103.228:4022/udp/239.93.42.12:5140$四川成都电信
爱谍战,http://118.122.103.228:4022/udp/239.93.42.14:5140$四川成都电信
爱院线,http://118.122.103.228:4022/udp/239.93.42.11:5140$四川成都电信
都市剧场,http://118.122.103.228:4022/udp/239.93.42.14:5140$四川成都电信
东北热剧,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010021/1.m3u8$海南移动V6

小双电影,#genre#
电影_星爷,http://cfss.cc/cdn/hy/11342412.flv
电影_英叔,http://cfss.cc/cdn/hy/11342421.flv
电影_发哥,http://cfss.cc/cdn/hy/11342387.flv
电影_成龙,http://cfss.cc/cdn/hy/11342386.flv
电影_王晶,http://cfss.cc/cdn/hy/11602058.flv
电影_沈腾,http://cfss.cc/cdn/hy/11601968.flv
电影_黄渤,http://cfss.cc/cdn/hy/11352876.flv
电影_强森,http://cfss.cc/cdn/hy/21059581.flv
电影_漫威,http://cfss.cc/cdn/hy/11602034.flv
许冠英,http://cfss.cc/cdn/hy/11601972.flv
五福星,http://cfss.cc/cdn/hy/11282233.flv
邱淑贞,http://cfss.cc/cdn/hy/11352949.flv
古天乐,http://cfss.cc/cdn/hy/11602041.flv
徐克,http://cfss.cc/cdn/hy/11352909.flv
冯小刚,http://cfss.cc/cdn/hy/11352906.flv
甄子丹,http://cfss.cc/cdn/hy/11352935.flv
电影_周星星,http://cfss.cc/cdn/hy/11336587.flv
电影_李连杰,http://cfss.cc/cdn/hy/11342390.flv
电影_洪金宝,http://cfss.cc/cdn/hy/11279251.flv
电影_梁家辉,http://cfss.cc/cdn/hy/11342429.flv
电影_刘德华,http://cfss.cc/cdn/hy/11342424.flv
电影_曾江,http://cfss.cc/cdn/hy/11601981.flv
电影_周海媚,http://cfss.cc/cdn/hy/11279247.flv
电影_宇宙,http://cfss.cc/cdn/hy/11342428.flv
电影_怪兽,http://cfss.cc/cdn/hy/21059577.flv
电影_武侠,http://cfss.cc/cdn/hy/11342427.flv
电影_警匪,http://cfss.cc/cdn/hy/11352886.flv
电影_罪犯,http://cfss.cc/cdn/hy/11352962.flv
电影_枪战,http://cfss.cc/cdn/hy/21059579.flv
电影_海盗,http://cfss.cc/cdn/hy/21059595.flv
电影_推荐,http://cfss.cc/cdn/hy/11602041.flv
电影_救援,http://cfss.cc/cdn/hy/21059594.flv
